	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
458722	Uganda/UG064/2020	EPI_ISL_737980	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458723	Uganda/UG065/2020	EPI_ISL_737981	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458724	Uganda/UG066/2020	EPI_ISL_737940	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458725	Uganda/UG067/2020	EPI_ISL_737982	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458726	Uganda/UG068/2020	EPI_ISL_737941	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458727	Uganda/UG069/2020	EPI_ISL_737983	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458729	Uganda/UG071/2020	EPI_ISL_737985	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458730	Uganda/UG072/2020	EPI_ISL_737986	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458731	Uganda/UG073/2020	EPI_ISL_737942	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458732	Uganda/UG074/2020	EPI_ISL_737943	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458733	Uganda/UG075/2020	EPI_ISL_737944	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458734	Uganda/UG076/2020	EPI_ISL_737987	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458735	Uganda/UG077/2020	EPI_ISL_737988	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458736	Uganda/UG078/2020	EPI_ISL_737989	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458737	Uganda/UG079/2020	EPI_ISL_737990	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458738	Uganda/UG080/2020	EPI_ISL_737991	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458739	Uganda/UG081/2020	EPI_ISL_737992	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458740	Uganda/UG082/2020	EPI_ISL_737993	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458741	Uganda/UG083/2020	EPI_ISL_737994	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458742	Uganda/UG084/2020	EPI_ISL_737995	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458744	Uganda/UG086/2020	EPI_ISL_737997	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458745	Uganda/UG087/2020	EPI_ISL_737998	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458746	Uganda/UG088/2020	EPI_ISL_737999	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458747	Uganda/UG089/2020	EPI_ISL_738000	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458748	Uganda/UG090/2020	EPI_ISL_738001	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458749	Uganda/UG094/2020	EPI_ISL_738002	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458750	Uganda/UG095/2020	EPI_ISL_738003	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458751	Uganda/UG096/2020	EPI_ISL_738004	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458752	Uganda/UG097/2020	EPI_ISL_738005	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458753	Uganda/UG098/2020	EPI_ISL_738006	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458754	Uganda/UG099/2020	EPI_ISL_738007	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458755	Uganda/UG100/2020	EPI_ISL_737945	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458756	Uganda/UG101/2020	EPI_ISL_738008	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458757	Uganda/UG102/2020	EPI_ISL_738009	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458758	Uganda/UG103/2020	EPI_ISL_738010	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458759	Uganda/UG104/2020	EPI_ISL_738011	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458760	Uganda/UG105/2020	EPI_ISL_738012	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458761	Uganda/UG106/2020	EPI_ISL_738013	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458762	Uganda/UG107/2020	EPI_ISL_738014	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458763	Uganda/UG108/2020	EPI_ISL_738015	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458764	Uganda/UG109/2020	EPI_ISL_738016	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458765	Uganda/UG110/2020	EPI_ISL_738017	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458766	Uganda/UG111/2020	EPI_ISL_738018	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458767	Uganda/UG112/2020	EPI_ISL_738019	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458768	Uganda/UG113/2020	EPI_ISL_738020	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458769	Uganda/UG114/2020	EPI_ISL_738021	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458770	Uganda/UG115/2020	EPI_ISL_738022	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458771	Uganda/UG116/2020	EPI_ISL_738023	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458773	Uganda/UG118/2020	EPI_ISL_738025	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458774	Uganda/UG119/2020	EPI_ISL_738026	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458775	Uganda/UG120/2020	EPI_ISL_738027	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458776	Uganda/UG121/2020	EPI_ISL_738028	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458777	Uganda/UG122/2020	EPI_ISL_738029	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458778	Uganda/UG123/2020	EPI_ISL_738030	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458779	Uganda/UG124/2020	EPI_ISL_738031	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458780	Uganda/UG125/2020	EPI_ISL_738032	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458781	Uganda/UG126/2020	EPI_ISL_738033	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458782	Uganda/UG127/2020	EPI_ISL_738034	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458783	Uganda/UG128/2020	EPI_ISL_738035	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458784	Uganda/UG129/2020	EPI_ISL_738036	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458785	Uganda/UG130/2020	EPI_ISL_738037	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458786	Uganda/UG131/2020	EPI_ISL_738038	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458787	Uganda/UG132/2020	EPI_ISL_738039	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458788	Uganda/UG133/2020	EPI_ISL_738040	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458789	Uganda/UG134/2020	EPI_ISL_738041	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458790	Uganda/UG135/2020	EPI_ISL_738042	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458791	Uganda/UG136/2020	EPI_ISL_738043	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
