	gisaid_epi_isl
56303	EPI_ISL_714243
56338	EPI_ISL_714283
56349	EPI_ISL_714293
56352	EPI_ISL_714201
56358	EPI_ISL_714237
56371	EPI_ISL_714398
56399	EPI_ISL_714700
56407	EPI_ISL_714244
56415	EPI_ISL_714232
56427	EPI_ISL_714399
56430	EPI_ISL_714193
56431	EPI_ISL_714194
56432	EPI_ISL_714400
56451	EPI_ISL_714245
56458	EPI_ISL_714233
56466	EPI_ISL_714238
56472	EPI_ISL_714202
56477	EPI_ISL_714203
56486	EPI_ISL_714451
56497	EPI_ISL_714195
56506	EPI_ISL_714204
56508	EPI_ISL_714234
56509	EPI_ISL_714246
56512	EPI_ISL_714401
56526	EPI_ISL_714247
56536	EPI_ISL_714414
56552	EPI_ISL_714402
56557	EPI_ISL_714248
56569	EPI_ISL_714403
56576	EPI_ISL_714239
56583	EPI_ISL_714205
56591	EPI_ISL_714280
56595	EPI_ISL_714249
56606	EPI_ISL_714404
56609	EPI_ISL_714405
56615	EPI_ISL_714406
56617	EPI_ISL_714206
56623	EPI_ISL_714207
56625	EPI_ISL_714407
56637	EPI_ISL_714408
56649	EPI_ISL_714208
56681	EPI_ISL_714452
56694	EPI_ISL_714250
56719	EPI_ISL_714453
56722	EPI_ISL_714409
56727	EPI_ISL_714251
56762	EPI_ISL_714209
56774	EPI_ISL_714410
56792	EPI_ISL_714411
56796	EPI_ISL_714210
56801	EPI_ISL_714412
56818	EPI_ISL_714252
56859	EPI_ISL_714258
56860	EPI_ISL_714932
56861	EPI_ISL_714217
56862	EPI_ISL_714933
56864	EPI_ISL_714934
56865	EPI_ISL_714935
56866	EPI_ISL_714936
56867	EPI_ISL_714218
56868	EPI_ISL_714219
56869	EPI_ISL_714220
56995	EPI_ISL_618150
57006	EPI_ISL_618151
57017	EPI_ISL_618152
57028	EPI_ISL_618153
57039	EPI_ISL_618158
57050	EPI_ISL_618159
57052	EPI_ISL_750506
57061	EPI_ISL_618160
57072	EPI_ISL_618161
57083	EPI_ISL_618162
57094	EPI_ISL_618163
57105	EPI_ISL_618164
57171	EPI_ISL_618169
57182	EPI_ISL_618170
57193	EPI_ISL_618171
57204	EPI_ISL_618172
57293	EPI_ISL_750510
57319	EPI_ISL_750511
57492	EPI_ISL_750507
57510	EPI_ISL_750508
57712	EPI_ISL_750191
57783	EPI_ISL_750268
57836	EPI_ISL_750509
57908	EPI_ISL_618186
57941	EPI_ISL_618187
57996	EPI_ISL_618188
58000	EPI_ISL_749180
58002	EPI_ISL_749515
58007	EPI_ISL_618193
58021	EPI_ISL_749516
58029	EPI_ISL_618183
58040	EPI_ISL_618189
58060	EPI_ISL_749282
58084	EPI_ISL_618190
58211	EPI_ISL_749519
58222	EPI_ISL_749511
58238	EPI_ISL_618196
58374	EPI_ISL_749517
58441	EPI_ISL_749512
58469	EPI_ISL_618072
58480	EPI_ISL_618073
58523	EPI_ISL_749518
58546	EPI_ISL_622553
58584	EPI_ISL_749513
58722	EPI_ISL_622555
58809	EPI_ISL_749514
58925	EPI_ISL_749520
58969	EPI_ISL_749521
59100	EPI_ISL_748167
59165	EPI_ISL_748505
59186	EPI_ISL_748503
59495	EPI_ISL_748268
59736	EPI_ISL_748247
60047	EPI_ISL_748506
60177	EPI_ISL_747739
60250	EPI_ISL_747740
60314	EPI_ISL_747741
60383	EPI_ISL_618295
60405	EPI_ISL_618297
60415	EPI_ISL_747742
60425	EPI_ISL_747602
60499	EPI_ISL_747748
60551	EPI_ISL_747743
60804	EPI_ISL_747751
60805	EPI_ISL_747604
60807	EPI_ISL_747605
60810	EPI_ISL_747653
60811	EPI_ISL_747744
60814	EPI_ISL_747649
61109	EPI_ISL_618302
61120	EPI_ISL_618303
62369	EPI_ISL_757771
62682	EPI_ISL_617504
63150	EPI_ISL_757418
63424	EPI_ISL_794339
63425	EPI_ISL_794432
63433	EPI_ISL_794433
63549	EPI_ISL_794434
63584	EPI_ISL_617643
63612	EPI_ISL_794435
63623	EPI_ISL_794431
63831	EPI_ISL_793116
63852	EPI_ISL_793117
64088	EPI_ISL_793393
64805	EPI_ISL_617578
65110	EPI_ISL_792839
65603	EPI_ISL_795395
65612	EPI_ISL_795094
