	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
352381	Switzerland/AG-ETHZ-360224/2020	EPI_ISL_729247	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352382	Switzerland/AG-ETHZ-360244/2020	EPI_ISL_728981	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352383	Switzerland/AG-ETHZ-360245/2020	EPI_ISL_729245	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352384	Switzerland/AG-ETHZ-360246/2020	EPI_ISL_729244	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352385	Switzerland/AG-ETHZ-360256/2020	EPI_ISL_729241	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352386	Switzerland/AG-ETHZ-370249/2020	EPI_ISL_729008	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352387	Switzerland/AG-ETHZ-370282/2020	EPI_ISL_693940	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352388	Switzerland/AG-ETHZ-370513/2020	EPI_ISL_693996	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352389	Switzerland/AG-ETHZ-370522/2020	EPI_ISL_694004	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352390	Switzerland/AG-ETHZ-370524/2020	EPI_ISL_694005	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352391	Switzerland/AG-ETHZ-370527/2020	EPI_ISL_694008	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352392	Switzerland/AG-ETHZ-380033/2020	EPI_ISL_728992	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352393	Switzerland/AG-ETHZ-380234/2020	EPI_ISL_721711	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352394	Switzerland/AG-ETHZ-380240/2020	EPI_ISL_721712	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352395	Switzerland/AG-ETHZ-380242/2020	EPI_ISL_721713	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352396	Switzerland/AG-ETHZ-380246/2020	EPI_ISL_721714	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352397	Switzerland/AG-ETHZ-380247/2020	EPI_ISL_721715	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352398	Switzerland/AG-ETHZ-380282/2020	EPI_ISL_721716	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352399	Switzerland/AG-ETHZ-380287/2020	EPI_ISL_721717	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352400	Switzerland/AG-ETHZ-380291/2020	EPI_ISL_721718	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352401	Switzerland/AG-ETHZ-380292/2020	EPI_ISL_721719	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352402	Switzerland/AG-ETHZ-380293/2020	EPI_ISL_721720	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352403	Switzerland/AG-ETHZ-380296/2020	EPI_ISL_721721	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352404	Switzerland/AG-ETHZ-380299/2020	EPI_ISL_721722	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352405	Switzerland/AG-ETHZ-380300/2020	EPI_ISL_721723	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352406	Switzerland/AG-ETHZ-380317/2020	EPI_ISL_721724	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352407	Switzerland/AG-ETHZ-380319/2020	EPI_ISL_721674	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352408	Switzerland/AG-ETHZ-380320/2020	EPI_ISL_721725	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352409	Switzerland/AG-ETHZ-380321/2020	EPI_ISL_721726	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352410	Switzerland/AG-ETHZ-380322/2020	EPI_ISL_721727	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352411	Switzerland/AG-ETHZ-380323/2020	EPI_ISL_721728	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352412	Switzerland/AG-ETHZ-380324/2020	EPI_ISL_721729	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352413	Switzerland/AG-ETHZ-380325/2020	EPI_ISL_721692	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352414	Switzerland/AG-ETHZ-380326/2020	EPI_ISL_721730	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352415	Switzerland/AG-ETHZ-380330/2020	EPI_ISL_721731	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352416	Switzerland/AG-ETHZ-380337/2020	EPI_ISL_721732	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352417	Switzerland/AG-ETHZ-380338/2020	EPI_ISL_721733	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352418	Switzerland/AG-ETHZ-380374/2020	EPI_ISL_721693	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352419	Switzerland/AG-ETHZ-380396/2020	EPI_ISL_721671	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352420	Switzerland/AG-ETHZ-390122/2020	EPI_ISL_729002	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352421	Switzerland/AG-ETHZ-390230/2020	EPI_ISL_721734	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352422	Switzerland/AG-ETHZ-390231/2020	EPI_ISL_721735	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352423	Switzerland/AG-ETHZ-390232/2020	EPI_ISL_721736	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352424	Switzerland/AG-ETHZ-400001/2020	EPI_ISL_728895	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352425	Switzerland/AG-ETHZ-400002/2020	EPI_ISL_728888	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352426	Switzerland/AG-ETHZ-400003/2020	EPI_ISL_728969	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352427	Switzerland/AG-ETHZ-400005/2020	EPI_ISL_728889	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352428	Switzerland/AG-ETHZ-400009/2020	EPI_ISL_728809	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352429	Switzerland/AG-ETHZ-400010/2020	EPI_ISL_728904	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
