	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
285532	Netherlands/FL-EMC-31/2020	EPI_ISL_632361	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285533	Netherlands/FL-EMC-32/2020	EPI_ISL_632725	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285534	Netherlands/FL-EMC-33/2020	EPI_ISL_632728	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285535	Netherlands/FL-EMC-34/2020	EPI_ISL_632729	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285536	Netherlands/FL-EMC-35/2020	EPI_ISL_632445	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285537	Netherlands/FL-EMC-36/2020	EPI_ISL_632740	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285538	Netherlands/FL-EMC-37/2020	EPI_ISL_632744	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285539	Netherlands/FL-EMC-38/2020	EPI_ISL_632778	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285540	Netherlands/FL-EMC-39/2020	EPI_ISL_632781	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285541	Netherlands/FL-EMC-41/2020	EPI_ISL_722714	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285542	Netherlands/FL-EMC-42/2020	EPI_ISL_722344	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285543	Netherlands/FL-EMC-43/2020	EPI_ISL_722348	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285544	Netherlands/FL-EMC-44/2020	EPI_ISL_722612	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285545	Netherlands/FL-EMC-45/2020	EPI_ISL_722459	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285546	Netherlands/FL-RIVM-10110/2021	EPI_ISL_905481	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285547	Netherlands/FL-RIVM-10114/2021	EPI_ISL_905494	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285563	Netherlands/FL-RIVM-10381/2021	EPI_ISL_905106	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285564	Netherlands/FL-RIVM-20074/2020	EPI_ISL_723253	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285565	Netherlands/FL-RIVM-20558/2020	EPI_ISL_790643	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285566	Netherlands/FL-RIVM-20560/2020	EPI_ISL_790645	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285567	Netherlands/FL-RIVM-20813/2020	EPI_ISL_790870	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285568	Netherlands/FL-RIVM-20860/2020	EPI_ISL_790829	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285569	Netherlands/FL-RIVM-20971/2020	EPI_ISL_790634	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285570	Netherlands/FL-RIVM-20972/2020	EPI_ISL_790995	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285571	Netherlands/FL-RIVM-21059/2020	EPI_ISL_791073	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285572	Netherlands/FL-RIVM-21060/2020	EPI_ISL_791074	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285573	Netherlands/FL-RIVM-21357/2020	EPI_ISL_824265	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285574	Netherlands/FL-RIVM-21667/2020	EPI_ISL_904768	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285575	Netherlands/FR-EMC-46/2020	EPI_ISL_523138	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285576	Netherlands/FR-EMC-47/2020	EPI_ISL_523139	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285577	Netherlands/FR-EMC-48/2020	EPI_ISL_523140	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285578	Netherlands/FR-EMC-49/2020	EPI_ISL_523141	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285579	Netherlands/FR-EMC-50/2020	EPI_ISL_523142	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285580	Netherlands/FR-EMC-51/2020	EPI_ISL_523143	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285581	Netherlands/FR-EMC-52/2020	EPI_ISL_523144	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285582	Netherlands/FR-EMC-53/2020	EPI_ISL_523145	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285583	Netherlands/FR-EMC-54/2020	EPI_ISL_523146	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285584	Netherlands/FR-RIVM-10055/2021	EPI_ISL_905405	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
